kernel,N,tail_kind,alignment,offset,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,runtime_scalar_median,runtime_scalar_var,runtime_simd_median,runtime_simd_var,speedup_median,speedup_var,gflops_scalar_median,gflops_scalar_var,gflops_simd_median,gflops_simd_var,validated,abs_err,rel_err
Dot,200003,tail,aligned,0,0.0003613,2.224421273050588e-05,0.00015146,2.5683710791083125e-05,2.3854483031823586,1.1071298090229726,2.6410009243364585,0.0003519,4.948049999999997e-10,0.0001502,6.596529999999998e-10,2.2842809364548495,0.2508771136677943,1.136703608979824,0.004389011130579714,2.663155792276964,0.21878417107223855,1,0.0,0.0
Dot,200003,tail,misaligned,1,0.0003454,7.778495998584822e-06,0.00014214,2.2956219200905018e-05,2.4299985929365415,1.1580949623624783,2.8141691290277193,0.000348,6.050500000000008e-11,0.0001496,5.269880000000002e-10,2.3696524064171123,0.15907520627641558,1.1494425287356322,0.0006847285370737637,2.673836898395722,0.22387783771635483,1,0.0,0.0
ElemMul,200000,no_tail_16x,aligned,0,0.00026014,4.561127053700654e-05,0.00024036,2.6060468146217163e-05,1.0822932268264271,0.7688167909587146,0.8320852055250457,0.0002726,2.080388000000001e-09,0.0002323,6.791479999999994e-10,1.0281141868512111,0.07106500341305338,0.7336757153338225,0.02364485444658648,0.8609556607834696,0.007673641394797166,1,0.0,0.0
ElemMul,200000,no_tail_16x,misaligned,1,0.00026962,4.340618619505749e-05,0.00023162,1.4272946437228718e-05,1.1640618254036783,0.7417847340701729,0.8634832915983076,0.0002825,1.8840969999999996e-09,0.0002373,2.0371699999999997e-10,1.2313527180783819,0.05870274540677833,0.7079646017699115,0.015405401531147365,0.8428150021070375,0.0029634968542774217,1,0.0,0.0
ElemMul,200008,no_tail_8x,aligned,0,0.00026802,4.9033733286381536e-05,0.00021782,4.0183230333063066e-05,1.2304655219906344,0.7462428177001716,0.9182260582132036,0.0002554,2.4043070000000006e-09,0.0002068,1.6146919999999997e-09,1.1452483801295896,0.059734597075543,0.7831166797180894,0.018730515484697504,0.9671566731141199,0.023740815053462826,1,0.0,0.0
ElemMul,200008,no_tail_8x,misaligned,1,0.00032244,3.0413122167906405e-05,0.0002624,5.9201731393600304e-05,1.2288109756097563,0.6202952487284455,0.7622256097560975,0.0003302,9.249580000000001e-10,0.0002375,3.5048449999999996e-09,1.3903157894736842,0.07435323155138321,0.605717746820109,0.0036664152709930523,0.8421389473684211,0.030567354047921394,1,0.0,0.0
ElemMul,200003,tail,aligned,0,0.00022810000000000001,5.256519761210834e-05,0.00022998,6.560397853789052e-05,0.9918253761196627,0.8768215694870669,0.8696538829463432,0.0002128,2.7631e-09,0.0002056,4.303882e-09,1.0927487352445195,0.13625784297130583,0.9398637218045113,0.038122189849323904,0.9727772373540856,0.04978832999042987,1,0.0,0.0
ElemMul,200003,tail,misaligned,1,0.00023698,3.2687566443527114e-05,0.0002432,1.351425173659274e-05,0.9744243421052632,0.8439657355051059,0.8223807565789474,0.0002466,1.0684769999999997e-09,0.0002403,1.826349999999999e-10,1.058525165821303,0.024130841140508404,0.8110421735604219,0.01834182588600752,0.8323054515189346,0.002072648960903131,1,0.0,0.0
Stencil,200000,no_tail_16x,aligned,0,0.00023993999999999998,2.965422398242786e-05,0.0001465,2.2143283406035342e-05,1.6378156996587028,2.5006251562890727,4.09556313993174,0.0002326,8.793729999999996e-10,0.0001587,4.903250000000001e-10,1.798165137614679,0.05432570985939696,2.5795356835769563,0.08009689699074188,3.780718336483932,0.4436037620821442,1,0.0,0.0
Stencil,200000,no_tail_16x,misaligned,1,0.00022482,1.1533949887180885e-05,0.00014684,1.8857306276348165e-05,1.5310542086624899,2.6688017080330932,4.086080087169709,0.0002219,1.3303199999999994e-10,0.0001549,3.5559799999999987e-10,1.554670528602462,0.05645989337918196,2.70392068499324,0.01769613127495195,3.8734667527437057,0.33909295398635714,1,0.0,0.0
Stencil,200008,no_tail_8x,aligned,0,0.00023762,1.98431852281835e-05,0.0001482,3.6376434679610915e-05,1.603373819163293,2.5251409813988723,4.048744939271255,0.0002382,3.937519999999998e-10,0.0001289,1.3232449999999998e-09,1.869701726844584,0.16193197631151576,2.518992443324937,0.0460264159651879,4.654957331264547,0.7755923859511578,1,0.0,0.0
Stencil,200008,no_tail_8x,misaligned,1,0.00023728,1.998416873427564e-05,0.00015636,2.3913448099343597e-05,1.5175236633410079,2.52875927174646,3.837452033768227,0.000234,3.9936700000000006e-10,0.0001582,5.718529999999999e-10,1.425660792951542,0.0765413523234389,2.564205128205128,0.04520878924102161,3.792819216182048,0.4886530046437952,1,0.0,0.0
Stencil,200003,tail,aligned,0,0.00021466,6.19620851811816e-06,0.00014702,1.5238667920786256e-05,1.4600734593932798,2.7951597875710426,4.081138620595837,0.0002132,3.839300000000005e-11,0.0001569,2.3221700000000013e-10,1.3505674653215636,0.03689510181094801,2.814301125703565,0.006131887701961815,3.82414913957935,0.1965894751134232,1,0.0,0.0
Stencil,200003,tail,misaligned,1,0.00022342,1.396860766146719e-05,0.00015782,2.0453532702200865e-05,1.4156634140159676,2.6855653030167397,3.8018565454315043,0.0002182,1.9512199999999988e-10,0.0001558,4.1834700000000024e-10,1.4005134788189988,0.060069713064879175,2.7498120989917507,0.02546309191451859,3.8511489088575095,0.23744815523582596,1,0.0,0.0
