kernel,N,tail_kind,alignment,offset,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,runtime_scalar_median,runtime_scalar_var,runtime_simd_median,runtime_simd_var,speedup_median,speedup_var,gflops_scalar_median,gflops_scalar_var,gflops_simd_median,gflops_simd_var,validated,abs_err,rel_err
Dot,200003,tail,aligned,0,0.00035564,1.474408355917721e-05,0.00015780000000000001,2.7651672643802223e-05,2.253738910012674,1.1247497469351029,2.53489226869455,0.0003549,2.1738799999999968e-10,0.0001531,7.646150000000002e-10,2.426518615284128,0.1710828340125882,1.1270949563257255,0.0021782946062805443,2.6127106466361854,0.2348141705973053,1,0.0,0.0
Dot,200003,tail,misaligned,1,0.0003659,2.40841234011122e-05,0.00013734,2.4063520108246835e-05,2.6641910586864714,1.0932112599070785,2.912523663899811,0.0003622,5.800450000000003e-10,0.0001376,5.790529999999998e-10,2.827761627906977,0.21019566164166076,1.1043787962451683,0.005295601847067067,2.9070203488372095,0.29425690146689837,1,0.0,0.0
ElemMul,200000,no_tail_16x,aligned,0,0.00026978,2.1790525464063516e-05,0.00022348,4.2631525893404276e-05,1.2071773760515483,0.7413447994662318,0.8949346697691068,0.0002705,4.748270000000005e-10,0.000248,1.8174469999999992e-09,1.179032258064516,0.06263191424872992,0.7393715341959335,0.003673225625607606,0.8064516129032258,0.03919810326519962,1,0.0,0.0
ElemMul,200000,no_tail_16x,misaligned,1,0.00024628000000000003,2.37957349119543e-05,0.00024396,2.6436017097891268e-05,1.0095097556976556,0.8120838070488874,0.8198065256599443,0.0002574,5.662370000000006e-10,0.0002334,6.988629999999995e-10,1.037430683918669,0.017569976883541387,0.777000777000777,0.006686309035740679,0.856898029134533,0.0073734797352133724,1,0.0,0.0
ElemMul,200008,no_tail_8x,aligned,0,0.000274,2.558300216940927e-05,0.0003209,9.257934434851006e-05,0.8538485509504519,0.729956204379562,0.6232720473667809,0.0002595,6.544899999999994e-10,0.0002965,8.570935000000002e-09,0.8988724453840733,0.050788344743676196,0.7707437379576108,0.004327011226565623,0.6745632377740304,0.030438439173230872,1,0.0,0.0
ElemMul,200008,no_tail_8x,misaligned,1,0.00029608,5.953836578207367e-05,0.00025288,5.224698077401219e-05,1.1708320151850682,0.6755201296946771,0.7909205947484974,0.0002733,3.5448170000000005e-09,0.0002508,2.7297469999999995e-09,1.1919568822553896,0.051663849515938144,0.7318258324185877,0.013350381757221457,0.7974800637958531,0.03474524336814643,1,0.0,0.0
ElemMul,200003,tail,aligned,0,0.00027316,4.561751856469179e-05,0.00023796,2.0809685245096817e-05,1.1479240208438393,0.7321826036022844,0.8404899983190453,0.0002581,2.080958e-09,0.0002338,4.330430000000002e-10,1.1522321428571427,0.047140462904717774,0.7749050755521116,0.013257611982826675,0.8554448246364414,0.004990246751213741,1,0.0,0.0
ElemMul,200003,tail,misaligned,1,0.0002515,2.2281943362283295e-05,0.00021424,1.9744189018544167e-05,1.1739171023151604,0.7952405566600398,0.9335464899178492,0.0002458,4.964850000000006e-10,0.0002052,3.8983300000000006e-10,1.182051282051282,0.025249828861988243,0.8136818551668022,0.004338641225562277,0.9746734892787524,0.006949418766833405,1,0.0,0.0
Stencil,200000,no_tail_16x,aligned,0,0.00025978,3.4974876697423826e-05,0.00014021999999999998,2.906797206548816e-05,1.852660105548424,2.309646624066518,4.278990158322637,0.0002417,1.2232420000000002e-09,0.0001206,8.449469999999999e-10,1.8507645259938839,0.15645644322486613,2.4824162184526273,0.09433041633340462,4.975124378109452,0.7058192972635412,1,0.0,0.0
Stencil,200000,no_tail_16x,misaligned,1,0.00024048,1.9650241728793056e-05,0.0001558,3.291754851139434e-05,1.5435173299101412,2.4950099800399204,3.851091142490372,0.0002464,3.861319999999999e-10,0.0001586,1.0835649999999999e-09,1.5656565656565655,0.15510028685429228,2.435064935064935,0.043474849980763196,3.7831021437578816,0.6958069209511412,1,0.0,0.0
Stencil,200008,no_tail_8x,aligned,0,0.00024164,1.7849873949134766e-05,0.00013776,1.439333178940859e-05,1.7540650406504064,2.4831319317993708,4.355574912891986,0.0002361,3.186179999999999e-10,0.0001353,2.0716799999999993e-10,1.745011086474501,0.08431091834020968,2.541397712833545,0.03172368285607949,4.4347671840354765,0.1796255988235426,1,0.0,0.0
Stencil,200008,no_tail_8x,misaligned,1,0.00023132,1.773349937265627e-05,0.0001416,2.9305119006753753e-05,1.6336158192090395,2.5939131938440254,4.237457627118644,0.0002284,3.144770000000003e-10,0.0001237,8.5879e-10,1.769419460343418,0.13772161257404608,2.6270753064798598,0.034322573591415544,4.850638641875506,0.6512750717742156,1,0.0,0.0
Stencil,200003,tail,aligned,0,0.00023718,1.2913055409158598e-05,0.00014182,1.61948139847298e-05,1.6724016358764633,2.5297622059195546,4.230778451558313,0.000241,1.6674700000000015e-10,0.0001396,2.622719999999999e-10,1.7263610315186246,0.049418490502039454,2.489663900414938,0.019702739728207724,4.298058739255015,0.23559279005074407,1,0.0,0.0
Stencil,200003,tail,misaligned,1,0.00023324,1.5156285824699929e-05,0.00014666,2.810183268044986e-05,1.590345015682531,2.5724961413136684,4.091156416200737,0.0002318,2.29713e-10,0.0001497,7.897129999999999e-10,1.5484301937207747,0.10518762956233328,2.5884771354616047,0.028079744403829265,4.008076152304609,0.6576142248511808,1,0.0,0.0
