kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
ElemMul,3309,2.233333e-06,5.773503e-08,1.400000e-06,0.000000e+00,1.595,1.482,2.364,1.685,1.056,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,4320,2.900000e-06,0.000000e+00,1.833333e-06,5.773503e-08,1.582,1.490,2.356,1.676,1.059,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,5640,5.100000e-06,0.000000e+00,3.133333e-06,5.773503e-08,1.628,1.106,1.800,2.257,1.387,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,7363,5.366667e-06,8.962886e-07,2.966667e-06,5.773503e-08,1.809,1.372,2.482,1.819,1.006,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,9612,7.466667e-06,1.939931e-06,4.133333e-06,3.511885e-07,1.806,1.287,2.325,1.939,1.073,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,12549,9.300000e-06,2.078461e-06,5.300000e-06,4.358899e-07,1.755,1.349,2.368,1.850,1.054,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,16383,1.133333e-05,1.527525e-07,9.266667e-06,5.773503e-08,1.223,1.446,1.768,1.727,1.412,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,21389,2.483333e-05,1.306152e-05,9.700000e-06,1.732051e-07,2.560,0.861,2.205,2.898,1.132,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,27924,2.023333e-05,1.422439e-06,2.260000e-05,1.468094e-05,0.895,1.380,1.236,1.809,2.020,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,36455,2.726667e-05,1.274101e-06,3.573333e-05,1.122512e-05,0.763,1.337,1.020,1.867,2.447,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,47592,4.803333e-05,1.655576e-05,3.030000e-05,3.988734e-06,1.585,0.991,1.571,2.519,1.589,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,62133,8.460000e-05,3.118477e-05,5.666667e-05,1.062748e-05,1.493,0.734,1.096,3.399,2.276,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,81115,1.090000e-04,1.429440e-05,7.583333e-05,4.614470e-06,1.437,0.744,1.070,3.354,2.333,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,105897,1.361333e-04,1.684231e-05,1.182333e-04,1.557380e-05,1.151,0.778,0.896,3.209,2.787,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,138250,1.779333e-04,1.785758e-05,1.545667e-04,2.300811e-05,1.151,0.777,0.894,3.212,2.791,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,180487,2.393000e-04,1.710000e-05,2.095333e-04,2.655830e-05,1.142,0.754,0.861,3.309,2.898,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,235628,3.310000e-04,1.031164e-05,2.540667e-04,8.604844e-06,1.303,0.712,0.927,3.506,2.691,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,307615,4.114667e-04,9.123674e-05,4.320667e-04,3.296306e-05,0.952,0.748,0.712,3.339,3.506,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,401595,6.064000e-04,8.635352e-05,6.066333e-04,1.096595e-04,1.000,0.662,0.662,3.769,3.770,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,524287,7.835000e-04,9.138802e-05,6.140337e-04,6.111800e-05,1.276,0.669,0.854,3.730,2.923,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,684464,9.325333e-04,1.079849e-04,8.741333e-04,6.418071e-05,1.067,0.734,0.783,3.401,3.188,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,893575,1.298833e-03,1.580186e-04,1.293733e-03,1.017023e-04,1.004,0.688,0.691,3.628,3.614,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1166573,1.868900e-03,6.422951e-05,1.729500e-03,1.877589e-04,1.081,0.624,0.675,3.999,3.700,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1522975,2.208500e-03,3.220936e-04,2.274633e-03,1.977888e-04,0.971,0.690,0.670,3.619,3.728,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1988262,3.035200e-03,7.569227e-05,3.205167e-03,1.165615e-04,0.947,0.655,0.620,3.810,4.024,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,2595700,3.973633e-03,1.899001e-04,4.480767e-03,7.123320e-04,0.887,0.653,0.579,3.821,4.309,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,3388716,5.500133e-03,2.985271e-04,5.845933e-03,3.761661e-04,0.941,0.616,0.580,4.051,4.306,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,4424009,7.311633e-03,1.028860e-04,7.978367e-03,4.923320e-04,0.916,0.605,0.555,4.125,4.501,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,5775596,9.169400e-03,1.752611e-04,9.460733e-03,5.262713e-04,0.969,0.630,0.610,3.963,4.089,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,7540108,1.232743e-02,1.541657e-04,1.272560e-02,9.391934e-04,0.969,0.612,0.593,4.081,4.213,1,1e-05,1e-07,0.000e+00,0.000e+00
