kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
Dot,768,1.333333e-06,5.773503e-08,4.000000e-07,0.000000e+00,3.333,1.152,3.840,4.333,1.300,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1002,1.700000e-06,0.000000e+00,4.666667e-07,5.773503e-08,3.643,1.179,4.294,4.235,1.162,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1308,2.233333e-06,5.773503e-08,6.000000e-07,0.000000e+00,3.722,1.171,4.360,4.262,1.145,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1708,2.933333e-06,5.773503e-08,8.000000e-07,0.000000e+00,3.667,1.165,4.270,4.287,1.169,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,2230,3.766667e-06,5.773503e-08,9.666667e-07,5.773503e-08,3.897,1.184,4.614,4.216,1.082,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,2912,4.933333e-06,5.773503e-08,1.266667e-06,5.773503e-08,3.895,1.181,4.598,4.229,1.086,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,3802,6.400000e-06,0.000000e+00,1.666667e-06,5.773503e-08,3.840,1.188,4.562,4.202,1.094,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,4963,8.400000e-06,0.000000e+00,2.100000e-06,0.000000e+00,4.000,1.182,4.727,4.225,1.056,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,6480,1.086667e-05,5.773503e-08,2.766667e-06,5.773503e-08,3.928,1.193,4.684,4.186,1.066,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,8460,1.420000e-05,0.000000e+00,3.666667e-06,1.154701e-07,3.873,1.192,4.615,4.189,1.082,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,11045,1.850000e-05,0.000000e+00,4.733333e-06,1.527525e-07,3.908,1.194,4.667,4.181,1.070,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,14419,2.413333e-05,5.773503e-08,6.266667e-06,2.886751e-07,3.851,1.195,4.602,4.178,1.085,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,18824,3.660000e-05,8.833459e-06,7.933333e-06,5.773503e-08,4.613,1.029,4.746,4.853,1.052,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,24576,4.560000e-05,7.280797e-06,1.523333e-05,8.458329e-06,2.993,1.078,3.227,4.631,1.547,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,32084,8.270000e-05,2.749891e-05,1.396667e-05,8.962886e-07,5.921,0.776,4.594,6.434,1.087,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,41886,7.143333e-05,2.482606e-06,1.756667e-05,5.773503e-08,4.066,1.173,4.769,4.257,1.047,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,54683,9.576667e-05,4.104063e-06,2.580000e-05,1.352775e-06,3.712,1.142,4.239,4.371,1.178,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,71389,1.335000e-04,1.375464e-05,5.286667e-05,3.192308e-05,2.525,1.069,2.701,4.668,1.848,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,93199,1.623333e-04,4.952104e-06,6.653333e-05,1.521228e-05,2.440,1.148,2.802,4.348,1.782,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,121673,2.477333e-04,4.508551e-05,7.156667e-05,4.703545e-06,3.462,0.982,3.400,5.082,1.468,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,158846,2.937667e-04,1.305118e-06,1.168333e-04,1.519945e-05,2.514,1.081,2.719,4.616,1.836,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,207375,3.509333e-04,3.614323e-06,1.431667e-04,2.765327e-05,2.451,1.182,2.897,4.224,1.723,1,1e-05,1e-07,0.000e+00,0.000e+00
