filter,workload,threads,qps,p50_us,p95_us,p99_us,seed
cuckoo,balanced,2,1.28374e+07,0.2,0.4,0.6,6
cuckoo,balanced,2,1.28108e+07,0.2,0.4,0.6,7
cuckoo,balanced,2,1.26767e+07,0.2,0.4,0.6,8
cuckoo,balanced,2,1.35759e+07,0.2,0.4,0.5,9
cuckoo,balanced,4,1.9859e+07,0.2,0.4,0.8,0
cuckoo,balanced,4,2.66572e+07,0.2,0.3,0.4,1
cuckoo,balanced,4,2.10486e+07,0.2,0.4,0.7,2
cuckoo,balanced,4,2.8287e+07,0.2,0.3,0.5,3
cuckoo,balanced,4,2.80708e+07,0.2,0.3,0.4,4
cuckoo,balanced,4,2.79818e+07,0.2,0.3,0.5,5
cuckoo,balanced,4,2.79419e+07,0.2,0.3,0.5,6
cuckoo,balanced,4,1.92518e+07,0.2,0.4,0.6,7
cuckoo,balanced,4,2.76918e+07,0.2,0.3,0.4,8
cuckoo,balanced,4,2.68176e+07,0.2,0.3,0.5,9
cuckoo,balanced,8,4.02988e+07,0.2,0.4,0.5,0
cuckoo,balanced,8,3.77609e+07,0.2,0.4,0.6,1
cuckoo,balanced,8,3.67235e+07,0.2,0.4,0.6,2
cuckoo,balanced,8,4.1841e+07,0.2,0.3,0.4,3
cuckoo,balanced,8,4.33203e+07,0.2,0.3,0.5,4
cuckoo,balanced,8,4.21745e+07,0.2,0.3,0.5,5
cuckoo,balanced,8,3.30235e+07,0.2,0.4,0.7,6
cuckoo,balanced,8,2.65774e+07,0.3,0.5,0.9,7
cuckoo,balanced,8,4.23852e+07,0.2,0.3,0.5,8
cuckoo,balanced,8,4.13275e+07,0.2,0.3,0.5,9
cuckoo,balanced,16,5.78027e+07,0.2,0.4,0.5,0
cuckoo,balanced,16,6.14347e+07,0.2,0.4,0.5,1
cuckoo,balanced,16,5.48474e+07,0.2,0.3,0.5,2
cuckoo,balanced,16,6.25382e+07,0.2,0.3,0.4,3
cuckoo,balanced,16,6.32727e+07,0.2,0.3,0.4,4
cuckoo,balanced,16,5.64252e+07,0.2,0.4,0.6,5
cuckoo,balanced,16,6.23059e+07,0.2,0.4,0.5,6
cuckoo,balanced,16,5.04085e+07,0.2,0.4,0.6,7
cuckoo,balanced,16,5.46002e+07,0.2,0.3,0.5,8
cuckoo,balanced,16,5.06791e+07,0.2,0.3,0.6,9
quotient,read_mostly,1,1.00098e+07,0.2,0.3,0.4,0
quotient,read_mostly,1,1.04408e+07,0.2,0.4,0.4,1
quotient,read_mostly,1,1.09977e+07,0.2,0.3,0.4,2
quotient,read_mostly,1,1.03662e+07,0.2,0.4,0.5,3
quotient,read_mostly,1,1.02904e+07,0.2,0.4,0.6,4
quotient,read_mostly,1,1.0899e+07,0.2,0.3,0.4,5
quotient,read_mostly,1,1.08422e+07,0.2,0.3,0.6,6
quotient,read_mostly,1,1.05732e+07,0.2,0.3,0.7,7
quotient,read_mostly,1,9.10051e+06,0.2,0.4,0.5,8
quotient,read_mostly,1,1.00759e+07,0.2,0.4,0.7,9
quotient,read_mostly,2,1.82099e+07,0.2,0.4,0.5,0
quotient,read_mostly,2,1.97999e+07,0.2,0.4,0.6,1
quotient,read_mostly,2,2.12539e+07,0.2,0.3,0.5,2
quotient,read_mostly,2,2.13622e+07,0.2,0.3,0.5,3
quotient,read_mostly,2,2.20634e+07,0.1,0.3,0.5,4
quotient,read_mostly,2,2.21009e+07,0.1,0.3,0.4,5
quotient,read_mostly,2,2.2298e+07,0.2,0.3,0.5,6
quotient,read_mostly,2,2.1009e+07,0.2,0.4,0.6,7
quotient,read_mostly,2,2.04078e+07,0.2,0.3,0.5,8
quotient,read_mostly,2,2.19506e+07,0.2,0.3,0.5,9
quotient,read_mostly,4,4.49049e+07,0.1,0.3,0.5,0
quotient,read_mostly,4,2.63422e+07,0.2,0.5,0.6,1
quotient,read_mostly,4,2.6918e+07,0.2,0.5,0.8,2
quotient,read_mostly,4,3.76213e+07,0.2,0.3,0.5,3
quotient,read_mostly,4,3.57863e+07,0.2,0.4,0.6,4
quotient,read_mostly,4,3.98281e+07,0.2,0.3,0.5,5
quotient,read_mostly,4,3.77417e+07,0.2,0.4,0.6,6
quotient,read_mostly,4,4.03013e+07,0.1,0.3,0.5,7
quotient,read_mostly,4,4.49004e+07,0.1,0.3,0.4,8
quotient,read_mostly,4,4.12725e+07,0.2,0.3,0.5,9
quotient,read_mostly,8,3.78957e+07,0.2,0.4,0.7,0
quotient,read_mostly,8,5.65842e+07,0.1,0.3,0.5,1
quotient,read_mostly,8,6.08246e+07,0.2,0.3,0.6,2
quotient,read_mostly,8,5.62741e+07,0.1,0.3,0.5,3
quotient,read_mostly,8,6.07894e+07,0.2,0.3,0.6,4
quotient,read_mostly,8,5.94011e+07,0.2,0.3,0.5,5
quotient,read_mostly,8,5.44636e+07,0.2,0.4,0.6,6
quotient,read_mostly,8,6.98902e+07,0.1,0.3,0.5,7
quotient,read_mostly,8,6.70045e+07,0.1,0.3,0.5,8
quotient,read_mostly,8,5.76974e+07,0.1,0.3,0.5,9
quotient,read_mostly,16,8.07992e+07,0.2,0.3,0.6,0
quotient,read_mostly,16,8.80735e+07,0.2,0.3,0.6,1
quotient,read_mostly,16,8.9059e+07,0.2,0.3,0.6,2
quotient,read_mostly,16,8.82957e+07,0.2,0.3,0.6,3
quotient,read_mostly,16,8.02588e+07,0.2,0.3,0.6,4
quotient,read_mostly,16,8.85889e+07,0.2,0.3,0.6,5
quotient,read_mostly,16,8.57645e+07,0.2,0.4,0.6,6
quotient,read_mostly,16,8.4601e+07,0.2,0.3,0.6,7
